layer,mean_H,delta_H
0,4.193755,-4.705575
1,3.450005,-5.449325
2,4.346648,-4.552683
3,3.740251,-5.159080
4,2.680097,-6.219234
5,2.158266,-6.741065
6,2.143276,-6.756054
7,2.209393,-6.689938
8,2.296192,-6.603138
9,2.613837,-6.285494
10,2.186772,-6.712559
11,2.432494,-6.466836
12,2.057389,-6.841941
13,1.844082,-7.055249
14,1.694679,-7.204652
15,1.533046,-7.366285
16,0.000000,-8.899331
17,0.000000,-8.899331
18,0.000000,-8.899331
19,0.000000,-8.899331
20,0.000000,-8.899331
21,0.000000,-8.899331
22,0.000000,-8.899331
23,0.000000,-8.899331
