layer,mean_H,delta_H
0,5.781910,-3.117421
1,4.889605,-4.009726
2,1.463313,-7.436018
3,1.375873,-7.523458
4,1.590204,-7.309127
5,1.711600,-7.187731
6,1.912080,-6.987251
7,1.806940,-7.092391
8,2.065460,-6.833871
9,2.271931,-6.627400
10,2.514428,-6.384903
11,2.476174,-6.423157
12,2.430441,-6.468890
13,2.260128,-6.639202
14,2.460239,-6.439092
15,2.268332,-6.630998
16,2.205484,-6.693847
17,1.937975,-6.961356
18,1.709271,-7.190060
19,1.755873,-7.143458
20,1.852089,-7.047242
21,1.597261,-7.302070
22,1.585322,-7.314009
23,1.400611,-7.498719
24,1.588280,-7.311051
25,1.349389,-7.549941
26,1.660862,-7.238469
27,1.304400,-7.594931
28,1.416922,-7.482408
29,1.706087,-7.193243
30,1.452686,-7.446644
31,2.202860,-6.696471
